Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Number of Males,Number of Females,Average Age,Local Authority
6A20385,428996,425547,2,2/10/2019,9:34,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,40,E08000035
6A20424,428063,435017,2,2/10/2019,9:54,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,0,1,33,E08000035
6A20427,431125,432963,1,2/10/2019,9:56,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,31,E08000035
6A20482,428447,432565,1,2/10/2019,11:20,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,30,E08000035
6A21117,428548,434265,1,2/10/2019,16:01,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Serious,1,0,18,E08000035
6A21798,429313,430252,2,2/10/2019,20:30,Unclassified,Dry,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Slight,1,0,55,E08000035
6A30310,431303,429064,2,3/10/2019,8:15,Unclassified,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,49,E08000035
6A30506,429296,433813,1,6/10/2019,10:26,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,27,E08000035
6A30706,430734,435008,2,3/10/2019,8:35,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,44,E08000035
6A31377,430119,430940,2,3/10/2019,17:30,Unclassified,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,1,1,32,E08000035
6A31377,430119,430940,2,3/10/2019,17:30,Unclassified,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,1,1,32,E08000035
6A32076,428833,434635,2,3/10/2019,23:34,Unclassified,Wet/Damp,Dark (lit street),Raining,Car,Driver/Rider,Slight,3,0,27,E08000035
6A32076,428833,434635,2,3/10/2019,23:34,Unclassified,Wet/Damp,Dark (lit street),Raining,Car,Vehicle Passenger,Slight,3,0,27,E08000035
6A32076,428833,434635,2,3/10/2019,23:34,Unclassified,Wet/Damp,Dark (lit street),Raining,Car,Vehicle Passenger,Slight,3,0,27,E08000035
6A40284,426406,429530,3,4/10/2019,8:09,Motorway,Wet/Damp,Daylight,High Winds,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,3,0,40,E08000035
6A40284,426406,429530,3,4/10/2019,8:09,Motorway,Wet/Damp,Daylight,High Winds,Car,Driver/Rider,Slight,3,0,40,E08000035
6A40284,426406,429530,3,4/10/2019,8:09,Motorway,Wet/Damp,Daylight,High Winds,Car,Vehicle Passenger,Slight,3,0,40,E08000035
6A40824,433118,425897,2,4/10/2019,13:15,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,58,E08000035
6A40824,433118,425897,2,4/10/2019,13:15,Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,58,E08000035
6A40835,429459,435106,3,4/10/2019,13:19,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,20,E08000035
6A41087,429536,439290,2,4/10/2019,15:00,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,38,E08000035
6A41713,432495,436606,2,4/10/2019,19:15,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Serious,1,0,35,E08000035
6A41934,441032,430625,2,4/10/2019,20:49,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Serious,3,2,17,E08000035
6A41934,441032,430625,2,4/10/2019,20:49,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,3,2,17,E08000035
6A41934,441032,430625,2,4/10/2019,20:49,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,3,2,17,E08000035
6A41934,441032,430625,2,4/10/2019,20:49,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,3,2,17,E08000035
6A41934,441032,430625,2,4/10/2019,20:49,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,3,2,17,E08000035
6A50940,427190,435251,2,25/9/2019,15:20,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,0,9,E08000035
6A51132,428793,435579,2,1/10/2019,18:30,Unclassified,Wet/Damp,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Slight,0,1,22,E08000035
6A51250,428982,429877,1,5/10/2019,14:40,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,30,E08000035
6A61688,421887,446013,1,6/10/2019,20:51,Non - Primary Road,Flood,Dark (unknown lighting),Raining,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Serious,1,0,47,E08000035
6A61942,431308,435039,2,6/10/2019,23:50,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Taxi/Private car,Driver/Rider,Slight,1,1,32,E08000035
6A61942,431308,435039,2,6/10/2019,23:50,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,1,1,32,E08000035
6A70736,420174,445555,1,7/10/2019,19:05,Unclassified,Dry,Unknown,Fine,Taxi/Private car,Pedestrian,Slight,1,0,49,E08000035
6A70966,430960,435867,2,7/10/2019,15:10,Unclassified,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,0,1,58,E08000035
6A71699,422957,435134,1,7/10/2019,15:30,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,12,E08000035
6A80342,424468,437099,2,8/10/2019,8:25,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,0,1,44,E08000035
6A80898,427895,433646,2,8/10/2019,13:05,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,29,E08000035
6A80956,426733,438362,1,8/10/2019,13:56,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,0,26,E08000035
6A80956,426733,438362,1,8/10/2019,13:56,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,0,26,E08000035
6A81046,426991,433439,1,8/10/2019,14:35,Unclassified,Wet/Damp,Daylight,Raining,Car,Pedestrian,Slight,1,0,70,E08000035
6A81781,429128,425932,2,8/10/2019,19:53,Non - Primary Road,Wet/Damp,Dark (lit street),Raining,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,2,0,58,E08000035
6A81781,429128,425932,2,8/10/2019,19:53,Non - Primary Road,Wet/Damp,Dark (lit street),Raining,Car,Driver/Rider,Slight,2,0,58,E08000035
6A90221,427664,434493,2,8/10/2019,6:50,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,32,E08000035
6A90311,424152,435961,2,9/10/2019,8:30,Road,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,37,E08000035
6A90635,423590,432652,2,9/10/2019,12:20,Unclassified,Wet/Damp,Daylight,Raining,Car,Vehicle Passenger,Slight,1,0,1,E08000035
6A91586,426219,429388,2,9/10/2019,20:32,Motorway,Wet/Damp,Dark (lit street),High Winds,Car,Driver/Rider,Slight,1,1,25,E08000035
6A91586,426219,429388,2,9/10/2019,20:32,Motorway,Wet/Damp,Dark (lit street),High Winds,Car,Driver/Rider,Slight,1,1,25,E08000035
6AA0233,414747,442825,2,10/10/2019,7:49,Unclassified,Wet/Damp,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Serious,1,0,55,E08000035
6AA0296,424375,439036,1,10/10/2019,8:05,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,27,E08000035
6AA0446,428026,436011,2,10/10/2019,9:07,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,33,E08000035
6AA0771,427199,430650,2,10/10/2019,11:00,Motorway,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,1,0,33,E08000035
6AB1075,422474,427900,2,11/10/2019,15:38,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,0,5,E08000035
6AB1077,442203,443157,4,11/10/2019,15:35,Primary Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,51,E08000035
6AB1104,437652,433318,2,11/10/2019,15:50,Unclassified,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,0,1,25,E08000035
6AB1145,441417,444988,3,11/10/2019,16:10,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,28,E08000035
6AB1203,424239,432739,2,11/10/2019,16:34,Road,Wet/Damp,Daylight,Fine,Motorcycle(50cc or less),Driver/Rider,Slight,0,1,16,E08000035
6AB1294,428251,431572,3,11/10/2019,17:16,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,38,E08000035
6AC0773,435967,426849,2,12/10/2019,12:23,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,19,E08000035
6AC0773,435967,426849,2,12/10/2019,12:23,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,19,E08000035
6AC0918,427799,434431,2,12/10/2019,15:30,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,0,37,E08000035
6AC0918,427799,434431,2,12/10/2019,15:30,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,0,37,E08000035
6AC1330,427393,431195,2,12/10/2019,17:09,Non - Primary Road,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Slight,1,0,53,E08000035
6AC1653,430072,433369,2,12/10/2019,19:30,Unclassified,Wet/Damp,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Slight,1,0,49,E08000035
6AD0856,430318,438861,2,13/10/2019,13:15,Unclassified,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,1,1,80,E08000035
6AD0856,430318,438861,2,13/10/2019,13:15,Unclassified,Wet/Damp,Daylight,Raining,Car,Vehicle Passenger,Slight,1,1,80,E08000035
6AD1600,427393,431195,2,13/10/2019,8:30,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,1,0,28,E08000035
6AD1911,430380,425081,2,13/10/2019,22:10,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Serious,2,0,44,E08000035
6AD1911,430380,425081,2,13/10/2019,22:10,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,2,0,44,E08000035
6AE0225,424744,433580,1,14/10/2019,6:45,Unclassified,Wet/Damp,Dark (lit street),Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Pedestrian,Slight,0,1,16,E08000035
6AE0272,432149,429752,3,14/10/2019,7:49,Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,0,25,E08000035
6AE1583,431433,432707,2,6/10/2019,19:30,Non - Primary Road,Dry,Unknown,Fine,Car,Driver/Rider,Slight,1,1,65,E08000035
6AE1583,431433,432707,2,6/10/2019,19:30,Non - Primary Road,Dry,Unknown,Fine,Car,Driver/Rider,Serious,1,1,65,E08000035
6AF0028,431453,435824,2,15/10/2019,0:25,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,27,E08000035
6AF0407,429047,434518,2,15/10/2019,9:50,Unclassified,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,0,1,18,E08000035
6AG0218,431152,432317,1,16/10/2019,7:10,Unclassified,Wet/Damp,Daylight,Raining,Car,Pedestrian,Slight,1,0,21,E08000035
6AG0311,426810,431697,2,16/10/2019,8:35,Non - Primary Road,Wet/Damp,Daylight,Raining,Motorcycle(50cc or less),Driver/Rider,Slight,1,0,17,E08000035
6AG0446,427068,434826,2,16/10/2019,9:58,Non - Primary Road,Wet/Damp,Daylight,Raining,Motorcycle(50cc-125cc),Driver/Rider,Serious,2,0,50,E08000035
6AG0446,427068,434826,2,16/10/2019,9:58,Non - Primary Road,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,2,0,50,E08000035
6AG1096,428408,430814,1,16/10/2019,15:30,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,6,E08000035
6AG1650,432062,436087,2,16/10/2019,19:20,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,1,0,36,E08000035
6AG1951,429186,431921,2,16/10/2019,21:40,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,45,E08000035
6AH0237,427449,430904,3,17/10/2019,6:49,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,34,E08000035
6AH0237,427449,430904,3,17/10/2019,6:49,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,34,E08000035
6AH0280,440434,446536,1,17/10/2019,7:45,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,26,E08000035
6AH0287,420549,444954,3,17/10/2019,7:49,Unclassified,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,0,1,58,E08000035
6AH0330,425949,435450,1,17/10/2019,8:22,Unclassified,Dry,Daylight,Fine,Goods Vehicle(3.5-7.5 tonnes mgw),Pedestrian,Slight,0,1,32,E08000035
6AH0370,443606,435854,2,17/10/2019,8:48,Motorway,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,1,0,40,E08000035
6AH0535,430021,435536,2,17/10/2019,10:40,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,21,E08000035
6AH0581,423960,428215,2,17/10/2019,7:30,Non - Primary Road,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Slight,1,0,51,E08000035
6AH1155,436128,434842,2,17/10/2019,15:45,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,55,E08000035
6AH1371,424404,439034,1,17/10/2019,16:15,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,9,E08000035
6AH1454,427568,436873,2,16/10/2019,16:30,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,20,E08000035
6AH1514,431783,435035,1,17/10/2019,19:00,Unclassified,Dry,Dark (lit street),Fine,Car,Pedestrian,Slight,2,0,20,E08000035
6AH1514,431783,435035,1,17/10/2019,19:00,Unclassified,Dry,Dark (lit street),Fine,Car,Pedestrian,Slight,2,0,20,E08000035
6AH1648,427747,430064,1,17/10/2019,18:55,Unclassified,Dry,Dark (unlit street),Fine,Car,Pedestrian,Slight,0,1,50,E08000035
6AI0307,424454,437775,2,18/10/2019,8:15,Non - Primary Road,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,1,0,37,E08000035
6AI0313,430687,439540,2,18/10/2019,8:20,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,0,11,E08000035
6AI0649,426949,433346,2,18/10/2019,11:57,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Serious,1,0,16,E08000035
6AI1561,422488,427896,3,18/10/2019,18:40,Non - Primary Road,Wet/Damp,Dark (lit street),Raining,Car,Driver/Rider,Slight,1,1,52,E08000035
6AI1561,422488,427896,3,18/10/2019,18:40,Non - Primary Road,Wet/Damp,Dark (lit street),Raining,Car,Vehicle Passenger,Serious,1,1,52,E08000035
6AI1781,423062,428555,2,18/10/2019,20:09,Road,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,0,1,31,E08000035
6AJ0182,416055,443133,1,19/10/2019,2:26,Unclassified,Wet/Damp,Dark (unknown lighting),Raining,Car,Driver/Rider,Slight,2,0,19,E08000035
6AJ0182,416055,443133,1,19/10/2019,2:26,Unclassified,Wet/Damp,Dark (unknown lighting),Raining,Car,Vehicle Passenger,Slight,2,0,19,E08000035
6AJ0381,430777,433452,2,19/10/2019,7:40,Unclassified,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,23,E08000035
6AJ0568,431370,434985,2,19/10/2019,10:25,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,27,E08000035
6AJ1121,426384,438887,1,19/10/2019,15:42,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,2,71,E08000035
6AJ1121,426384,438887,1,19/10/2019,15:42,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,2,71,E08000035
6AJ1142,428772,434403,2,19/10/2019,15:52,Unclassified,Dry,Daylight,Fine,Taxi/Private car,Vehicle Passenger,Serious,0,1,27,E08000035
6AJ1630,429570,433795,2,19/10/2019,19:54,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Pedestrian,Serious,0,1,44,E08000035
6AK1182,435243,434858,2,20/10/2019,15:40,Unclassified,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,1,0,71,E08000035
6AK1628,442239,444971,2,20/10/2019,19:45,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Pedestrian,Slight,1,0,18,E08000035
6AK1821,437248,428106,1,20/10/2019,22:00,Unclassified,Wet/Damp,Dark (unknown lighting),Fine,Car,Driver/Rider,Slight,1,0,39,E08000035
6AL0070,422471,427901,2,21/10/2019,0:55,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,2,0,24,E08000035
6AL0070,422471,427901,2,21/10/2019,0:55,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,2,0,24,E08000035
6AL0355,431266,436334,2,21/10/2019,8:32,Road,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,0,1,45,E08000035
6AL0509,434905,431290,1,21/10/2019,10:19,Non - Primary Road,Dry,Daylight,Fine,Goods Vehicle(7.5 tonnes mgw or more),Driver/Rider,Slight,1,0,31,E08000035
6AL1423,437572,432099,1,21/10/2019,17:24,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Serious,1,0,8,E08000035
6AM0221,430251,431959,4,22/10/2019,7:13,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,40,E08000035
6AM0862,439459,446166,2,22/10/2019,13:43,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,38,E08000035
6AN0983,429421,433886,4,23/10/2019,14:55,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,0,26,E08000035
6AN0983,429421,433886,4,23/10/2019,14:55,Primary Motorway,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,2,0,26,E08000035
6AN1070,435672,433901,2,23/10/2019,15:30,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,9,E08000035
6AO0217,424929,427642,2,24/10/2019,7:15,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,54,E08000035
6AO0396,430957,426513,2,24/10/2019,9:40,Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,72,E08000035
6AO0444,437371,425752,1,24/10/2019,10:00,Unclassified,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Serious,1,0,57,E08000035
6AO0457,424321,435331,1,24/10/2019,10:10,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,23,E08000035
6AO2015,433149,426328,2,24/10/2019,22:39,Non - Primary Road,Wet/Damp,Dark (lit street),Raining,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,49,E08000035
6AP0484,429968,436635,2,25/10/2019,8:20,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,39,E08000035
6AP0837,420398,434130,1,25/10/2019,14:00,Unclassified,Wet/Damp,Daylight,Raining,Car,Pedestrian,Slight,0,1,10,E08000035
6AP1018,426066,427380,1,25/10/2019,15:15,Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,39,E08000035
6AP1120,436686,436620,2,25/10/2019,16:12,Unclassified,Wet/Damp,Daylight,Raining,Car,Pedestrian,Slight,0,1,46,E08000035
6AP1251,431451,435823,2,25/10/2019,17:00,Unclassified,Wet/Damp,Daylight,Raining,Pedal Cycle,Driver/Rider,Slight,1,0,39,E08000035
6AP1303,428858,433953,2,25/10/2019,17:28,Unclassified,Wet/Damp,Dark (lit street),Raining,Pedal Cycle,Driver/Rider,Serious,1,0,33,E08000035
6AP1708,424092,428106,2,25/10/2019,20:46,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,28,E08000035
6AP1708,424092,428106,2,25/10/2019,20:46,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,1,1,28,E08000035
6AQ0248,429561,431046,1,26/10/2019,4:33,Unclassified,Wet/Damp,Dark (lit street),Raining,Car,Pedestrian,Slight,0,1,41,E08000035
6AQ0496,424860,441876,2,26/10/2019,9:50,Unclassified,Wet/Damp,Daylight,Raining,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,29,E08000035
6AR1250,427326,434673,2,27/10/2019,15:30,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,19,E08000035
6AR1412,436295,436657,2,27/10/2019,16:40,Unclassified,Dry,Dark (lit street),Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,18,E08000035
6AS1179,429674,434589,1,28/10/2019,16:29,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Serious,1,0,18,E08000035
6AT0895,429771,430660,1,29/10/2019,15:01,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,84,E08000035
6AT1415,421728,428374,2,29/10/2019,17:55,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,2,0,35,E08000035
6AT1415,421728,428374,2,29/10/2019,17:55,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,2,0,35,E08000035
6AT1673,420842,434796,3,29/10/2019,20:03,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,20,E08000035
6AU0042,432743,436150,2,29/10/2019,23:50,Unclassified,Dry,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Serious,1,0,45,E08000035
6AU1542,428916,434804,2,8/11/2019,18:35,Unclassified,Dry,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Slight,1,0,22,E08000035
6AV0146,430256,433231,1,31/10/2019,4:16,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Pedestrian,Slight,1,0,20,E08000035
6AV0193,429582,434806,1,31/10/2019,6:41,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,18,E08000035
6AV0506,428112,426284,2,31/10/2019,11:00,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,59,E08000035
6AV0827,426208,427459,2,31/10/2019,13:15,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,72,E08000035
6AV1572,428958,435471,2,31/10/2019,18:20,Non - Primary Road,Wet/Damp,Dark (lit street),Raining,Car,Driver/Rider,Slight,1,0,21,E08000035
6AV2230,423826,429504,2,31/10/2019,21:33,Road,Wet/Damp,Dark (lit street),Raining,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,19,E08000035
6AV2475,427896,436196,1,31/10/2019,23:25,Non - Primary Road,Wet/Damp,Dark (lit street),Raining,Car,Pedestrian,Slight,1,0,29,E08000035
6B10436,430942,433305,1,1/11/2019,6:00,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Serious,0,1,59,E08000035
6B11019,425901,436250,2,1/11/2019,18:56,Unclassified,Wet/Damp,Dark (lit street),High Winds,Car,Driver/Rider,Slight,1,0,36,E08000035
6B11410,440074,434243,3,1/11/2019,16:45,Motorway,Wet/Damp,Dark (unknown lighting),Raining,Car,Vehicle Passenger,Slight,0,1,59,E08000035
6B11613,429950,423840,2,3/11/2019,18:19,Motorway,Dry,Dark (unknown lighting),Fine,Car,Driver/Rider,Slight,1,0,35,E08000035
6B11704,436558,434703,1,1/11/2019,17:18,Unclassified,Wet/Damp,Dark (lit street),Raining,Bus(17 or more passenger seats),Vehicle Passenger,Slight,1,0,75,E08000035
6B12126,434915,436251,1,1/11/2019,15:00,Unclassified,Wet/Damp,Daylight,Raining,Car,Pedestrian,Slight,1,0,38,E08000035
6B21190,424792,434818,2,2/11/2019,16:15,Non - Primary Road,Wet/Damp,Daylight,Raining,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,22,E08000035
6B21241,428601,430887,1,2/11/2019,16:37,Non - Primary Road,Wet/Damp,Daylight,Raining,Car,Pedestrian,Serious,1,0,48,E08000035
6B21306,442124,449037,1,2/11/2019,17:05,Unclassified,Wet/Damp,Dark (unknown lighting),Other,Car,Pedestrian,Fatal,2,0,58,E08000035
6B21306,442124,449037,1,2/11/2019,17:05,Unclassified,Wet/Damp,Dark (unknown lighting),Other,Car,Pedestrian,Serious,2,0,58,E08000035
6B31213,423548,437863,1,3/11/2019,15:16,Unclassified,Wet/Damp,Daylight,Fine,Car,Pedestrian,Slight,0,1,14,E08000035
6B40089,425155,429007,4,4/11/2019,2:00,Non - Primary Road,Wet/Damp,Dark (unknown lighting),Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,1,1,33,E08000035
6B40089,425155,429007,4,4/11/2019,2:00,Non - Primary Road,Wet/Damp,Dark (unknown lighting),Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Vehicle Passenger,Slight,1,1,33,E08000035
6B40169,429704,432133,2,4/11/2019,5:00,Motorway,Wet/Damp,Daylight,Raining,Goods Vehicle(7.5 tonnes mgw or more),Pedestrian,Fatal,1,0,47,E08000035
6B40370,427449,430904,2,4/11/2019,9:04,Motorway,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,0,1,51,E08000035
6B41484,431071,427777,1,4/11/2019,17:30,Unclassified,Wet/Damp,Dark (lit street),Raining,Van/Goods Vehicle(3.5 tonnes mgw or less),Pedestrian,Fatal,0,1,75,E08000035
6B41525,432902,426227,1,4/11/2019,14:30,Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,11,E08000035
6B50029,428351,433471,2,5/11/2019,1:38,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,2,0,34,E08000035
6B50029,428351,433471,2,5/11/2019,1:38,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,2,0,34,E08000035
6B50229,442690,437584,1,5/11/2019,7:45,Unclassified,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,1,0,21,E08000035
6B50275,428349,429220,2,5/11/2019,8:22,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,26,E08000035
6B50416,426156,439135,1,5/11/2019,9:40,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Serious,0,1,64,E08000035
6B50636,426350,435931,2,5/11/2019,16:10,Unclassified,Wet/Damp,Dark (lit street),Other,Motorcycle(500cc or more),Driver/Rider,Slight,1,0,53,E08000035
6B51024,418939,444820,2,11/2/2019,14:45,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,3,0,84,E08000035
